Date,Open,High,Low,Close,Volume
2024-01-02,20.97,21.07,20.74,20.85,164618
2024-01-03,20.85,21.21,20.76,21.15,166047
2024-01-04,21.34,21.35,20.86,21.13,222724
2024-01-05,21.04,21.27,20.77,20.94,182253
2024-01-08,21.17,21.17,20.66,20.67,189385
2024-01-09,20.85,20.85,20.37,20.58,183489
2024-01-10,20.52,20.71,20.3,20.38,141522
2024-01-11,20.3,20.44,19.81,19.85,198674
2024-01-12,19.69,19.91,19.36,19.72,236844
2024-01-15,19.56,20.11,19.56,19.88,160088
2024-01-16,19.97,20.1,19.57,19.94,217134
2024-01-17,19.93,19.99,19.54,19.54,226964
2024-01-18,19.55,20.14,19.16,19.94,377577
2024-01-19,19.83,20.01,19.61,19.77,312333
2024-01-22,19.69,19.97,19.36,19.62,301913
2024-01-23,19.41,19.74,19.1,19.3,280789
2024-01-24,19.49,19.49,18.99,19.41,253084
2024-01-25,19.45,20.04,19.3,19.99,269425
2024-01-26,19.94,20.05,19.66,19.91,224941
2024-01-29,19.94,20.3,19.87,20.14,237233
2024-01-30,20.05,20.3,19.67,19.7,251621
2024-01-31,19.95,20.09,19.61,19.76,256717
2024-02-01,19.65,20.09,19.58,19.63,251275
2024-02-02,19.63,19.76,18.95,19.35,237999
2024-02-05,19.41,20.17,19.12,19.9,300306
2024-02-06,19.7,20.97,19.67,20.89,358995
2024-02-07,20.96,21.2,20.7,21.2,371097
2024-02-08,21.09,21.7,21.01,21.22,341467
2024-02-19,21.55,21.58,21.12,21.44,254906
2024-02-20,21.45,21.69,21.28,21.64,132931
2024-02-21,21.29,21.7,21.29,21.31,261700
2024-02-22,21.17,21.6,21.1,21.51,162307
2024-02-23,21.27,21.54,20.88,21.47,280601
2024-02-26,21.47,21.89,21.38,21.5,178789
2024-02-27,21.43,21.7,21.35,21.66,123027
2024-02-28,21.75,21.8,21.37,21.53,206688
2024-02-29,21.51,21.97,21.49,21.93,193521
2024-03-01,21.78,22.15,21.68,22.05,171364
2024-03-04,22.05,22.85,22.04,22.61,261957
2024-03-05,22.45,23.43,22.41,23.28,364056
2024-03-06,23.28,24.22,23.28,23.76,394820
2024-03-07,23.76,23.88,23.52,23.64,244034
2024-03-08,23.42,23.79,23.24,23.6,315327
2024-03-11,23.6,24.08,23.52,23.77,262167
2024-03-12,23.96,23.99,23.38,23.41,250560
2024-03-13,23.05,23.66,22.99,23.29,257228
